Word	Part of Speech	Origin	Definition
taurine	adjective	International Scientific Vocabulary	of or relating to or resembling a bull
taurine	adjective	International Scientific Vocabulary	of or relating to or resembling a bull
taxonomically	adverb	French	with regard to taxonomy
tchotchke	noun	Yiddish	an inexpensive showy trinket
technetium	noun	New Latin	a crystalline metallic element not found in nature
telamon	noun	Latin	a figure of a man used as a supporting column
telegnosis	noun	New Latin	apparent knowledge of distant events without using sensory perceptions
telencephalon	noun	New Latin	the anterior division of the forebrain
teleology	noun	New Latin	a doctrine explaining phenomena by their ends or purposes
temblor	noun	Spanish	shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
temerarious	adjective	Latin	presumptuously daring
temerity	noun	Middle English	fearless daring
temperature	noun	Latin	the degree of hotness or coldness of a body or environment
Templar	noun	Middle English	a knight of a religious military order established in 1118 to protect pilgrims and the Holy Sepulcher
tenet	noun	Latin	a religious doctrine that is proclaimed as true without proof
tenon	noun	Middle English	a projection at the end of a piece of wood that is shaped to fit into a mortise and form a mortise joint
tenor	adjective	Middle English	of or close in range to the highest natural adult male voice
tenosynovitis	noun	New Latin	inflammation of a tendon and its enveloping sheath
tepid	adjective	Middle English	feeling or showing little interest or enthusiasm
terete	adjective	Latin	especially of plant parts
tergiversate	verb	Latin	abandon one's beliefs or allegiances
terpsichore	noun	Latin	the Muse of the dance and of choral song
terrene	adjective	Middle English	belonging to this earth or world
terreplein	noun	Middle French	level space where heavy guns can be mounted behind the parapet at the top of a rampart
terrific	adjective	Latin	causing extreme terror
tertiary	adjective	Latin	coming next after the second and just before the fourth in position
tessera	noun	Latin	a small square tile of stone or glass used in making mosaics
testaceous	adjective	Latin	relating to or possessing a testa
tetracycline	noun	International Scientific Vocabulary	an antibiotic derived from microorganisms of the genus Streptomyces and used broadly to treat infections
tetragrammaton	noun	Middle English	the four Hebrew letters usually transliterated YHWH or JHVH that form a biblical proper name of God
tetramerous	adjective	New Latin	having or consisting of four similar parts
thalassic	adjective	French	"relating to the seas, especially smaller or inland seas"
thalweg	noun	German	a line following the lowest points of a valley
thanatology	noun	Greek	the branch of science that studies death
theodolite	noun	New Latin	"a surveying instrument for measuring horizontal and vertical angles, consisting of a small telescope mounted on a tripod"
theophylline	noun	International Scientific Vocabulary	a colorless crystalline alkaloid derived from tea leaves or made synthetically
therapeutic	adjective	Greek	relating to or involved in therapy
thesaurus	noun	New Latin	a book containing a classified list of synonyms
theurgy	noun	Late Latin	white magic performed with the help of beneficent spirits
thistle	noun	Middle English	any of numerous plants of the family Compositae and especially of the genera Carduus and Cirsium and Onopordum having prickly-edged leaves
threnody	noun	Greek	a song or hymn of mourning composed or performed as a memorial to a dead person
thrombocyte	noun	International Scientific Vocabulary	tiny bits of protoplasm found in vertebrate blood
throstle	noun	Middle English	a spinning machine formerly used to twist and wind fibers of cotton or wool continuously
thurible	noun	Middle English	a container for burning incense
thurifer	noun	New Latin	an acolyte who carries a thurible
thylacine	noun	New Latin	rare doglike carnivorous marsupial of Tasmania having stripes on its back
tichodrome	noun	New Latin	crimson-and-grey songbird that inhabits town walls and mountain cliffs of southern Eurasia and northern Africa
tilapia	noun	New Latin	a genus of Cichlidae
timbale	noun	French	small pastry shell for creamy mixtures of minced foods
timorous	adjective	Middle English	timid by nature or revealing timidity
timorously	adverb	Middle English	in a timorous and trepid manner
tinamou	noun	French	heavy-bodied small-winged South American game bird resembling a gallinaceous bird but related to the ratite birds
tinnitus	noun	Latin	a ringing or booming sensation in one or both ears
tintinnabulation	noun	Latin	the sound of a bell ringing
tiramisu	noun	Italian	an Italian dessert consisting of layers of sponge cake soaked with coffee and brandy or liqueur layered with mascarpone cheese and topped with grated chocolate
toboggan	noun	Canadian French	a long narrow sled without runners
toccata	noun	Italian	a baroque musical composition with full chords and rapid elaborate runs in a rhythmically free style
tocopherol	noun	International Scientific Vocabulary	a fat-soluble vitamin that is essential for normal reproduction
tocsin	noun	Middle French	a bell used to sound an alarm
tokamak	noun	Russian	a doughnut-shaped chamber used in fusion research
toluene	noun	French	a colorless flammable liquid obtained from petroleum or coal tar
tomentose	adjective	New Latin	densely covered with short matted woolly hairs
tomography	noun	Greek	obtaining pictures of the interior of the body
tonsil	noun	Latin	either of two masses of lymphatic tissue one on each side of the oral pharynx
tonsorial	adjective	Latin	of or relating to barbers and barbering
tonsure	noun	Middle English	shaving the crown of the head by priests or members of a monastic order
topaz	noun	Middle English	a mineral that occurs in crystals of various colors and is used as a gemstone
toque	noun	Middle French	a tall white hat with a pouched crown
toreador	noun	Spanish	someone who fights bulls
torero	noun	Spanish	a matador or one of the supporting team during a bull fight
totipotency	noun	Latin	the ability of a cell to give rise to unlike cells and so to develop a new organism or part
tournedos	noun	French	thick steak cut from the beef tenderloin
trabeated	adjective	Latin	not arcuate
tracheitis	noun	New Latin	inflammation of the trachea
trachodon	noun	New Latin	large duck-billed dinosaur of the Cretaceous period
tractile	adjective	Latin	capable of being shaped or bent or drawn out
traduce	verb	Latin	speak unfavorably about
tragedy	noun	Middle English	drama in which the protagonist is overcome by some superior force or circumstance
tralatitious	adjective	Latin	having been passed along from generation to generation
tramontana	noun	Italian	a cold dry wind that blows south out of the mountains into Italy and the western Mediterranean
transitory	adjective	Middle English	lasting a very short time
transmittal	noun	Middle English	the act of sending a message
transmogrify	verb	origin unknown	change completely the nature or appearance of
transposable	adjective	Middle English	capable of changing sequence
travail	noun	Middle English	use of physical or mental energy
treacle	noun	Middle English	an expression that is excessively sweet and sentimental
treadle	noun	Middle English	a lever that is operated with the foot
treatise	noun	Middle English	a formal exposition
trebuchet	noun	Middle English	medieval artillery used during sieges
tremolo	noun	Italian	vocal vibrato especially an excessive or poorly controlled one
tremulous	adjective	Latin	quivering as from weakness or fear
trenchantly	adverb	Middle English	in a vigorous and effective manner
trepan	noun	origin unknown	a drill for cutting circular holes around a center
trepan	noun	origin unknown	a drill for cutting circular holes around a center
triage	noun	French	sorting and allocating aid on the basis of need for or likely benefit from medical treatment or food
Triassic	adjective	International Scientific Vocabulary	of or relating to or denoting the first period of the Mesozoic era
